,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
68,-0.0772,Thu Jan 25 10:58:48 +0000 2018,36868459,0.087,0.837,0.076,BBC Breaking News,"RT @bbctennis: The dream run is over for Kyle Edmund. 

He loses in the #Ausopen semi-finals to Marin Cilic 6-2 7-6 6-2.

Reaction: https:/…"
69,0.3182,Thu Jan 25 10:09:29 +0000 2018,36868459,0.0,0.887,0.113,BBC Breaking News,"More than one in eight secondary schools in England below the standard deemed acceptable, league table data shows https://t.co/QSh7J31wcD"
70,0.1027,Thu Jan 25 09:51:46 +0000 2018,36868459,0.0,0.862,0.138,BBC Breaking News,"Number of rough sleepers in England reach highest level since current records began - an estimated 4,751 https://t.co/yWBK2T5vPQ"
71,-0.8591,Thu Jan 25 08:12:57 +0000 2018,36868459,0.388,0.612,0.0,BBC Breaking News,At least two people are killed and scores injured after train derails near Milan in northern Italy https://t.co/G8BEDQcZrO
72,-0.5574,Wed Jan 24 20:22:00 +0000 2018,36868459,0.217,0.783,0.0,BBC Breaking News,"The Fall singer Mark E Smith has died aged 60, the band's manager says https://t.co/Oelr6KdsPg"
73,-0.128,Wed Jan 24 18:40:12 +0000 2018,36868459,0.12,0.785,0.094,BBC Breaking News,Brazil's ex-President Lula loses appeal against corruption conviction in blow to his chances of regaining office https://t.co/TfMn4bQhTN
74,-0.8126,Wed Jan 24 17:44:18 +0000 2018,36868459,0.316,0.684,0.0,BBC Breaking News,Former US Olympic gym doctor Larry Nassar jailed for 175 years for sexual abuse after emotionally-charged hearing https://t.co/cStNHH0VAW
75,0.128,Wed Jan 24 17:18:14 +0000 2018,36868459,0.12,0.733,0.147,BBC Breaking News,"The #PresidentsClub says it is to close after accusations of groping at a men-only charity dinner

https://t.co/5HeXSeVCAZ"
76,-0.1779,Wed Jan 24 13:46:53 +0000 2018,36868459,0.164,0.704,0.131,BBC Breaking News,"#PresidentsClub: David Walliams ""appalled"" by reports of hostesses being harassed at men-only charity event he host… https://t.co/usM6RMHhox"
77,-0.5423,Wed Jan 24 13:00:00 +0000 2018,36868459,0.179,0.821,0.0,BBC Breaking News,"Businessman, who helped organise event at centre of hostess harassment row, quits Department for Education role https://t.co/Cam6dCwO0I"
