,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
671,tilichiki,ru,"{'lon': 166.100006, 'lat': 60.466671}",2120591,60.47,166.1,1517043244,32.87,92,76,17.72,1517097600,34.73,93,88,15.79,1517043600,1517464800,30.809500000000003,90.8,74.1,13.477749999999997
672,martinsicuro,it,"{'lon': 13.9145, 'lat': 42.88105}",3173833,42.88,13.91,1517039400,37.4,86,0,4.7,1517054400,54.0,87,8,3.15,1517043600,1517464800,38.688750000000006,95.075,5.2,2.98625
673,qena,eg,"{'lon': 32.7160121, 'lat': 26.155061}",0,26.16,32.72,1517040000,59.0,41,0,2.24,1517054400,67.98,71,0,7.4,1517043600,1517464800,48.35675,78.375,1.8,4.069249999999999
674,businga,cd,"{'lon': 20.883329, 'lat': 3.33333}",217637,3.33,20.88,1517043246,80.79,50,12,6.2,1517054400,98.92,26,0,5.61,1517043600,1517464800,80.8785,42.55,3.2,5.3035
675,viedma,ar,"{'lon': -62.996681, 'lat': -40.81345}",3832899,-40.81,-63.0,1517043246,69.41,38,0,12.01,1517076000,80.14,30,0,12.48,1517043600,1517464800,73.358,37.8,3.3,13.248
676,doha,kw,"{'lon': 47.8155695, 'lat': 29.3155169}",0,29.32,47.82,1517040000,68.0,49,0,3.36,1517054400,70.83,58,32,11.77,1517043600,1517464800,54.17274999999999,86.475,1.9,12.13125
677,praia,cv,"{'lon': -23.50868, 'lat': 14.92148}",3374333,14.92,-23.51,1517040000,69.8,77,0,19.46,1517065200,75.15,83,80,20.04,1517043600,1517464800,70.12299999999999,95.925,16.6,17.848750000000003
678,chifeng,cn,"{'lon': 118.963608, 'lat': 42.26833}",2038067,42.27,118.96,1517043248,8.79,40,20,2.39,1517043600,8.79,40,20,2.39,1517043600,1517464800,6.37375,45.575,14.2,7.45325
680,nassau,bs,"{'lon': -77.343063, 'lat': 25.058229}",3571824,25.06,-77.34,1517040000,71.6,68,75,14.99,1517130000,75.34,95,36,26.31,1517043600,1517464800,73.23775,97.3,36.8,21.418
681,stepnoye,ru,"{'lon': 46.866669, 'lat': 51.400002}",487543,51.4,46.87,1517040000,1.4,70,0,6.71,1517054400,5.92,83,0,9.31,1517043600,1517464800,13.88825,82.175,55.7,13.423000000000002
683,barentu,er,"{'lon': 37.592781, 'lat': 15.11389}",342711,15.11,37.59,1517043250,86.37,35,0,4.85,1517054400,101.23,22,0,9.86,1517043600,1517464800,70.08675000000001,49.575,2.5,4.726000000000001
684,pangai,to,"{'lon': -174.350006, 'lat': -19.799999}",4032369,-19.8,-174.35,1517043251,79.22,100,92,25.21,1517043600,80.26,100,92,25.21,1517043600,1517464800,78.422,100.0,90.7,13.425749999999999
685,mao,td,"{'lon': 15.3103, 'lat': 14.12116}",2428394,14.12,15.31,1517043251,68.73,26,44,17.27,1517065200,88.02,18,0,12.66,1517043600,1517464800,68.981,19.925,1.3,14.653749999999999
686,buin,pg,"{'lon': 155.6851709, 'lat': -6.7465002}",0,-6.75,155.69,1517043252,81.02,73,88,7.99,1517119200,85.79,61,76,12.35,1517043600,1517464800,80.07950000000001,80.525,70.2,6.682499999999999
687,zhigalovo,ru,"{'lon': 105.157784, 'lat': 54.809719}",2012532,54.81,105.16,1517043252,-14.3,61,56,2.73,1517130000,3.16,61,24,5.06,1517043600,1517464800,-1.45375,60.275,54.2,4.7265
688,lethem,gy,"{'lon': -59.7977761, 'lat': 3.3663183}",0,3.37,-59.8,1517043253,77.1,69,24,11.45,1517076000,95.98,35,0,17.74,1517043600,1517464800,86.24825,49.6,3.6,15.19875
689,karaul,ru,"{'lon': 83.23083489999999, 'lat': 70.070114}",0,70.07,83.23,1517043254,6.45,80,80,20.96,1517108400,20.96,88,76,16.11,1517043600,1517464800,10.61825,82.825,69.2,14.193000000000001
690,arlit,ne,"{'lon': 7.38528, 'lat': 18.73694}",2447513,18.74,7.39,1517043254,61.31,70,0,4.63,1517065200,78.55,58,0,4.27,1517043600,1517464800,62.95975,60.15,23.5,4.813750000000001
691,andevoranto,mg,"{'lon': 49.1082407, 'lat': -18.9549753}",0,-18.95,49.11,1517043255,80.57,99,0,10.45,1517043600,81.72,99,0,10.45,1517043600,1517464800,79.58175,99.85,45.9,6.85825
692,charters towers,au,"{'lon': 145.816452, 'lat': -20.20927}",7839570,-20.21,145.82,1517043256,88.26,43,68,8.32,1517119200,92.85,45,0,8.37,1517043600,1517464800,82.89125,60.45,12.3,7.310249999999999
694,bacuit,ph,"{'lon': 119.4622539, 'lat': 11.2097089}",0,11.21,119.46,1517043256,83.54,96,8,17.27,1517043600,83.54,96,8,17.27,1517043600,1517464800,81.8885,98.55,41.9,15.303750000000003
695,yarim,ye,"{'lon': 44.377949, 'lat': 14.29804}",69559,14.3,44.38,1517043257,74.27,9,0,2.17,1517043600,87.01,9,0,2.17,1517043600,1517464800,53.3615,48.175,4.2,2.436
696,mogadishu,so,"{'lon': 45.34375, 'lat': 2.03711}",53654,2.04,45.34,1517040000,84.2,70,75,16.11,1517043600,83.08,99,0,17.83,1517043600,1517464800,77.70599999999999,99.7,6.2,20.399250000000002
697,bonavista,ca,"{'lon': -53.114738, 'lat': 48.649891}",5905393,48.65,-53.11,1517043258,15.63,100,12,19.51,1517130000,30.7,97,92,24.74,1517043600,1517464800,27.43075,96.475,69.4,18.67025
698,jinchang,cn,"{'lon': 102.173889, 'lat': 38.495281}",1805733,38.5,102.17,1517043259,7.94,77,68,3.96,1517043600,7.94,77,68,3.96,1517043600,1517464800,0.9172499999999999,65.275,29.2,3.1262499999999998
701,kuppam,in,"{'lon': 78.366669, 'lat': 12.75}",1265555,12.75,78.37,1517043200,83.85,47,0,4.41,1517043600,87.08,47,0,4.41,1517043600,1517464800,69.20075,66.925,4.3,5.21625
