Registrar,Total Number of Domains,Change,Share Percent
Reserved for ICANN's Registry SLA Monitoring System transactions reporting,26,0 ,0.00%
"Shanghai Yovole Networks, Inc.",25,0 ,0.00%
"Shenzhen Internet Works Online Technology Co., Ltd. (62.com)",25,0 ,0.00%
DNS Africa Ltd,24,0 ,0.00%
"Focus IP, dba AppDetex",24,1 ,0.00%
Beijing Brandma International Networking Technology Ltd.,23,0 ,0.00%
eBrand Services S.A.,22,0 ,0.00%
"Cloud System, LLC",22,0 ,0.00%
Kheweul.com SA,20,0 ,0.00%
"PSI-Japan, Inc.",19,0 ,0.00%
"PierX, Inc",18,0 ,0.00%
"JPRS Registrar Co., Ltd.",15,0 ,0.00%
"Hongkong Domain Name Information Management Co., Ltd.",15,0 ,0.00%
HooYoo Information Technology Co. Ltd.,13,0 ,0.00%
Dot Holding Inc.,13,0 ,0.00%
Emerald Registrar Limited,13,0 ,0.00%
Purity Names Incorporated,12,0 ,0.00%
"Own Identity, Inc.",12,0 ,0.00%
"Vedacore.com, Inc.",12,0 ,0.00%
"Name124, Inc. (Tucows)",12,0 ,0.00%
Tianjin Zhuiri Science and Technology Development Co Ltd.,12,0 ,0.00%
Fan Domains Ltd,11,0 ,0.00%
STATE BANK OF INDIA,11,0 ,0.00%
GDN REGISTRY FZ-LLC,10,0 ,0.00%
"DomainPeople, Inc.",10,0 ,0.00%
Reserved for Pre-Delegation Testing transactions #2 reporting,9,0 ,0.00%
"OwnRegistrar, Inc.",8,0 ,0.00%
"NICENIC INTERNATIONAL GROUP CO., LIMITED",8,0 ,0.00%
Afilias (R3191-AGRS),8,0 ,0.00%
"Cloud Seed, LLC",6,0 ,0.00%
"DomainContext, Inc.",5,0 ,0.00%
"Cosmotown, Inc.",5,0 ,0.00%
"Small World Communications, Inc.",5,0 ,0.00%
"Cloud Boom, LLC",4,0 ,0.00%
Dynadot5 LLC,4,0 ,0.00%
Aruba SpA,3,0 ,0.00%
ICANN Monitoring 2,3,0 ,0.00%
BrandNames.com SARL,3,0 ,0.00%
"KINX Co., Ltd.",3,0 ,0.00%
Dynadot3 LLC,3,0 ,0.00%
Stockholms kommun,3,0 ,0.00%
"Cloud Orchid, LLC",3,0 ,0.00%
Dynadot10 LLC,3,0 ,0.00%
Dynadot12 LLC,2,0 ,0.00%
Dynadot7 LLC,2,0 ,0.00%
.nyc Reserve Account,2,0 ,0.00%
Dynadot6 LLC,2,0 ,0.00%
CBS Domains Inc.,2,0 ,0.00%
"Wolfe Domain, LLC dba Dot Brand Registrar Services",2,0 ,0.00%
Tuonome.it Srl d/b/a APIsrs.com,2,0 ,0.00%
"Cloud City, LLC",2,0 ,0.00%
Dynadot4 LLC,2,0 ,0.00%
Esurance Insurance Company,1,0 ,0.00%
Xiamen Xin click Network Polytron Technologies Inc,1,0 ,0.00%
AbbVie Inc.,1,0 ,0.00%
Test Registrar,1,1 ,0.00%
Dynadot9 LLC,1,0 ,0.00%
BNP Paribas Group Communications - Digital services and ressources - Amandine Smulevic (R3415-AGRS),1,0 ,0.00%
Dynadot11 LLC,1,0 ,0.00%
Afilias Limited (R3187-XXX),1,0 ,0.00%
Afilias,1,0 ,0.00%
STATE BANK OF INDIA,1,0 ,0.00%
"Koehler Management Consulting (Shanghai) Co., Ltd.",1,0 ,0.00%
Reserved for Internal Registry Use,1,0 ,0.00%
Taiwan Network Information Center,1,0 ,0.00%
Binero AB,1,0 ,0.00%
Stockholms kommun,1,0 ,0.00%
"NamePal.com, LLC",1,0 ,0.00%
Massachusetts Institute of Technology,1,0 ,0.00%
"Cloud Shark, LLC",1,0 ,0.00%
Dynadot8 LLC,1,0 ,0.00%
